id;key;shift_start;shift_end;type
1;17888;2023-12-31T05:47:46;2023-12-31T15:47:25;sponsorship
2;3899;2023-12-31T09:30:51;2023-12-31T20:54:55;utterly
3;22779;2023-12-31T20:41:47;2023-12-31T12:46:49;pro input
4;31666;2024-01-01T00:21:43;2023-12-31T22:43:31;now
5;2865;2024-01-01T04:08:11;2023-12-31T22:35:43;badly boo downgrade
6;2416;2023-12-31T17:16:00;2024-01-01T04:19:33;afterwards unless
7;21762;2023-12-31T19:03:50;2023-12-31T21:48:44;absolute
8;16279;2023-12-31T16:38:03;2023-12-31T20:56:53;wriggler
9;17520;2023-12-31T17:57:14;2023-12-31T17:38:57;drum scatter kindly
10;8890;2023-12-31T23:10:45;2024-01-01T01:07:17;delude edible
