id;key;shift_start;shift_end;type
1;21975;2023-12-31T22:27:02;2023-12-31T19:52:01;dispose
2;4883;2024-01-01T03:03:47;2023-12-31T11:50:42;aw
3;17346;2024-01-01T00:15:52;2024-01-01T03:58:38;yet shrill
4;5029;2023-12-31T21:48:29;2023-12-31T22:14:01;taste pish bleak
5;4509;2023-12-31T12:10:43;2024-01-01T01:50:04;yum considering huzzah
6;21469;2024-01-01T00:00:31;2023-12-31T18:24:23;urban off illustrious
7;30614;2023-12-31T20:12:17;2024-01-01T02:26:52;gah how
8;22862;2023-12-31T11:59:34;2023-12-31T12:47:46;finally next
9;14808;2023-12-31T10:24:08;2023-12-31T09:40:37;login really bumper
10;17778;2023-12-31T15:57:14;2023-12-31T10:50:49;pro ouch
